Model,Sampler,Lambda,Delta,h_minus_delta,Run
Multivariate Normal,NUTS,,0.25,-0.10972969866135418,0
Multivariate Normal,NUTS,,0.3,-0.212535113334674,0
Multivariate Normal,NUTS,,0.35,-0.05734258165857953,0
Multivariate Normal,NUTS,,0.4,-0.07677918444755605,0
Multivariate Normal,NUTS,,0.44999999999999996,-0.008502162583961026,0
Multivariate Normal,NUTS,,0.5,0.1532042896144421,0
Multivariate Normal,NUTS,,0.55,0.09610504952695953,0
Multivariate Normal,NUTS,,0.6,-0.07705368083153685,0
Multivariate Normal,NUTS,,0.6499999999999999,0.05036295544936564,0
Multivariate Normal,NUTS,,0.7,0.09453721031935602,0
Multivariate Normal,NUTS,,0.75,0.08364471654013428,0
Multivariate Normal,NUTS,,0.7999999999999999,0.05874831799615865,0
Multivariate Normal,NUTS,,0.85,0.013254014604747621,0
Multivariate Normal,NUTS,,0.8999999999999999,-0.0007840354907916458,0
Multivariate Normal,NUTS,,0.95,0.0017022178007403133,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.25,-0.24330476626313396,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.35,-0.06712661358441246,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.44999999999999996,-0.11964645667341312,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.55,0.1512001660125062,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.6499999999999999,0.18961309034758866,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.75,0.10207041113562054,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.85,0.04882779152194705,0
Multivariate Normal,HMC $\epsilon L=1.5$,1.5,0.95,0.009459356692449461,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.25,-0.2434709814134826,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.35,-0.2671452378445329,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.44999999999999996,0.02689934530227378,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.55,0.11155476566972666,0
Multivariate Normal,HMC $\epsilon L=3.4$,3.4,0.6499999999999999,0.14691601797068343,0
