Delta,Worst-case ESS,Total Gradients,ESS per Gradient
0.25,68.58365823313106,17072,0.004017318312624828
0.3,58.87702751897385,17894,0.0032903223158027186
0.35,147.0096854517701,19554,0.007518138767094717
0.4,265.5878061022303,21354,0.012437379699458195
0.44999999999999996,300.45014460850956,22490,0.013359277216919055
0.5,302.29761629643525,24318,0.012431022958155903
0.55,352.48877403073857,25630,0.013752975966864556
0.6,384.7381267828837,27086,0.014204316871552969
0.6499999999999999,379.2753447500243,27618,0.013732904075241666
0.7,346.4273065810015,29002,0.011944945403110183
0.75,397.86495311032644,30444,0.013068747638625885
0.7999999999999999,368.1876151594602,32298,0.011399703237335445
0.85,336.1962048875137,34790,0.009663587378198153
0.8999999999999999,388.4093392933167,46694,0.008318185190673677
0.95,338.58300656757507,60486,0.00559770866923875
