epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.689,1.49023,3.8016,1.58446,0.48919,0.19739,0.18075,0.10159,1.58621,2.75395,1.69754,0.000138115,0.000138115,0.000138115
2,328.252,1.4465,2.67613,1.55588,0.43249,0.36624,0.33228,0.19081,1.55994,2.1599,1.6381,0.00026797,0.00026797,0.00026797
3,452.728,1.42639,2.40632,1.54565,0.33839,0.23487,0.20951,0.10535,1.70161,2.56334,1.84514,0.000388651,0.000388651,0.000388651
4,576.904,1.41442,2.27747,1.54414,0.41274,0.30769,0.28873,0.15624,1.58773,2.43413,1.73314,0.000375717,0.000375717,0.000375717
5,699.591,1.38324,2.16,1.51684,0.45701,0.32105,0.32157,0.18905,1.55708,2.24904,1.70236,0.000361956,0.000361956,0.000361956
6,824.302,1.3542,2.05519,1.49264,0.44896,0.39147,0.37511,0.21951,1.47488,2.01084,1.60033,0.000348195,0.000348195,0.000348195
7,949.064,1.32065,1.9643,1.47489,0.52896,0.40731,0.42255,0.25422,1.47474,1.84844,1.56434,0.000334434,0.000334434,0.000334434
8,1072.99,1.3097,1.89828,1.46854,0.52392,0.40101,0.4123,0.24731,1.44711,1.88341,1.5601,0.000320673,0.000320673,0.000320673
9,1196.56,1.29546,1.83576,1.45487,0.55119,0.42088,0.43913,0.27178,1.42604,1.80168,1.53481,0.000306912,0.000306912,0.000306912
10,1321.56,1.28143,1.7878,1.43736,0.55514,0.44998,0.46645,0.28718,1.40709,1.70063,1.49969,0.000293151,0.000293151,0.000293151
11,1445.26,1.27476,1.73835,1.43237,0.57646,0.43092,0.45567,0.27469,1.42766,1.74996,1.5168,0.00027939,0.00027939,0.00027939
12,1568.43,1.24494,1.68334,1.41046,0.5534,0.46176,0.47282,0.28688,1.42088,1.66217,1.51781,0.000265629,0.000265629,0.000265629
13,1694.12,1.23062,1.64816,1.40178,0.60931,0.46454,0.509,0.32213,1.37539,1.60638,1.48161,0.000251868,0.000251868,0.000251868
14,1821.07,1.22309,1.59554,1.39149,0.60154,0.47402,0.50496,0.31399,1.3879,1.61225,1.4894,0.000238107,0.000238107,0.000238107
15,1947.19,1.20646,1.55588,1.37609,0.63572,0.487,0.52768,0.33052,1.37288,1.55807,1.47509,0.000224346,0.000224346,0.000224346
16,2070.48,1.19696,1.52496,1.37123,0.61252,0.48775,0.52547,0.33316,1.3472,1.53877,1.46016,0.000210585,0.000210585,0.000210585
17,2196.49,1.18432,1.48252,1.35679,0.65061,0.49583,0.54875,0.34912,1.34179,1.49922,1.44665,0.000196824,0.000196824,0.000196824
18,2323.29,1.17394,1.46819,1.35236,0.62388,0.50022,0.53608,0.34072,1.34511,1.50638,1.44477,0.000183063,0.000183063,0.000183063
19,2446.72,1.16169,1.43074,1.338,0.67055,0.51408,0.56814,0.36866,1.29832,1.44182,1.4194,0.000169302,0.000169302,0.000169302
20,2570.63,1.1482,1.40591,1.33664,0.65413,0.51494,0.56413,0.36418,1.31384,1.44248,1.41611,0.000155541,0.000155541,0.000155541
21,2695.73,1.15163,1.30464,1.33995,0.66138,0.52553,0.57108,0.36949,1.30626,1.4321,1.42005,0.00014178,0.00014178,0.00014178
22,2817.46,1.13564,1.2048,1.32329,0.6764,0.52518,0.5801,0.37809,1.28759,1.41707,1.40622,0.000128019,0.000128019,0.000128019
23,2937.26,1.11074,1.16819,1.30426,0.6891,0.53077,0.59127,0.38382,1.29242,1.38777,1.40765,0.000114258,0.000114258,0.000114258
24,3057.77,1.08573,1.11606,1.28233,0.6848,0.54145,0.59853,0.39137,1.29137,1.37005,1.40591,0.000100497,0.000100497,0.000100497
25,3177.61,1.07462,1.08701,1.27556,0.70337,0.53957,0.59635,0.38933,1.28565,1.36852,1.39875,8.6736e-05,8.6736e-05,8.6736e-05
26,3297.2,1.05827,1.05083,1.26296,0.69957,0.54342,0.60766,0.40018,1.27615,1.34968,1.39159,7.2975e-05,7.2975e-05,7.2975e-05
27,3417.59,1.0367,1.01851,1.24682,0.71694,0.54276,0.61346,0.40581,1.26371,1.33609,1.38788,5.9214e-05,5.9214e-05,5.9214e-05
28,3536.8,1.02591,0.99705,1.23596,0.70334,0.54794,0.61438,0.40606,1.26961,1.32954,1.38803,4.5453e-05,4.5453e-05,4.5453e-05
29,3656.02,1.02119,0.98779,1.23408,0.70033,0.55582,0.61661,0.4083,1.26482,1.32084,1.38493,3.1692e-05,3.1692e-05,3.1692e-05
30,3775.15,1.00914,0.96681,1.22372,0.7009,0.55973,0.61918,0.41076,1.26299,1.31489,1.38405,1.7931e-05,1.7931e-05,1.7931e-05
