epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.248,1.18216,3.48595,1.33522,0.53187,0.38917,0.39876,0.25598,1.28734,2.07221,1.40325,0.000138115,0.000138115,0.000138115
2,253.488,1.25731,2.22045,1.39929,0.57236,0.47326,0.49234,0.30688,1.31375,1.74899,1.43595,0.00026797,0.00026797,0.00026797
3,374.513,1.25358,2.01066,1.40062,0.49358,0.42047,0.40719,0.23702,1.39655,1.92863,1.49613,0.000388651,0.000388651,0.000388651
4,496.276,1.26044,1.93423,1.40676,0.52209,0.42604,0.42695,0.25809,1.36823,1.80995,1.4816,0.000375717,0.000375717,0.000375717
5,618.349,1.2304,1.83017,1.38998,0.46699,0.36897,0.34295,0.20317,1.41145,2.15311,1.56121,0.000361956,0.000361956,0.000361956
6,741.014,1.20741,1.73958,1.37085,0.58577,0.45409,0.48139,0.2918,1.34636,1.70872,1.44793,0.000348195,0.000348195,0.000348195
7,864.721,1.19085,1.66066,1.35813,0.599,0.4581,0.49262,0.30771,1.31935,1.65113,1.4226,0.000334434,0.000334434,0.000334434
8,988.902,1.17045,1.59554,1.35057,0.59839,0.48822,0.52747,0.33546,1.28237,1.53912,1.40434,0.000320673,0.000320673,0.000320673
9,1112.53,1.16093,1.53851,1.34272,0.64509,0.51964,0.56913,0.36882,1.25888,1.44047,1.4005,0.000306912,0.000306912,0.000306912
10,1235.74,1.14889,1.49212,1.3287,0.63864,0.53107,0.57493,0.37384,1.24413,1.40712,1.36709,0.000293151,0.000293151,0.000293151
11,1359.9,1.14161,1.44678,1.32483,0.65697,0.54423,0.58738,0.38508,1.22656,1.37934,1.34887,0.00027939,0.00027939,0.00027939
12,1484.26,1.1137,1.40232,1.30292,0.67828,0.53155,0.59764,0.39481,1.22349,1.37742,1.35552,0.000265629,0.000265629,0.000265629
13,1607.4,1.10591,1.37192,1.29692,0.67852,0.54906,0.61418,0.40068,1.2396,1.33867,1.35719,0.000251868,0.000251868,0.000251868
14,1731.45,1.09172,1.32326,1.28432,0.69599,0.56114,0.62637,0.41659,1.20326,1.29159,1.32209,0.000238107,0.000238107,0.000238107
15,1854.92,1.07966,1.28331,1.27292,0.70377,0.55361,0.62123,0.40948,1.21685,1.31007,1.33246,0.000224346,0.000224346,0.000224346
16,1977.5,1.07039,1.26587,1.27081,0.68929,0.57539,0.63214,0.41787,1.20276,1.26355,1.32532,0.000210585,0.000210585,0.000210585
17,2101.55,1.05966,1.22194,1.25756,0.72397,0.57871,0.64969,0.43644,1.18392,1.22546,1.31039,0.000196824,0.000196824,0.000196824
18,2224.43,1.05079,1.20838,1.25381,0.6825,0.59171,0.63604,0.42409,1.17863,1.25146,1.31152,0.000183063,0.000183063,0.000183063
19,2346.17,1.04287,1.17884,1.24352,0.70118,0.58822,0.64803,0.43731,1.1611,1.2281,1.30271,0.000169302,0.000169302,0.000169302
20,2469.79,1.02568,1.15979,1.23734,0.71977,0.59476,0.66002,0.44657,1.16758,1.18668,1.28683,0.000155541,0.000155541,0.000155541
21,2591.07,1.01618,1.06013,1.2246,0.72599,0.58763,0.65638,0.44643,1.15608,1.19932,1.30112,0.00014178,0.00014178,0.00014178
22,2707.16,0.9978,0.97451,1.21005,0.72222,0.60456,0.66584,0.44983,1.16487,1.17694,1.30484,0.000128019,0.000128019,0.000128019
23,2822.49,0.97031,0.9401,1.19082,0.73119,0.59899,0.66859,0.4514,1.15542,1.1672,1.29597,0.000114258,0.000114258,0.000114258
24,2938.13,0.95102,0.9042,1.17452,0.72456,0.61483,0.67209,0.45691,1.16593,1.15674,1.30477,0.000100497,0.000100497,0.000100497
25,3053.47,0.94061,0.872,1.17128,0.7369,0.60993,0.6754,0.45809,1.15619,1.14342,1.2946,8.6736e-05,8.6736e-05,8.6736e-05
26,3169.09,0.92843,0.84637,1.16104,0.75182,0.61725,0.68344,0.46946,1.14677,1.13255,1.28691,7.2975e-05,7.2975e-05,7.2975e-05
27,3285.48,0.91238,0.82059,1.14958,0.7418,0.62023,0.68517,0.47089,1.1413,1.11179,1.28245,5.9214e-05,5.9214e-05,5.9214e-05
28,3401.49,0.90377,0.8043,1.14022,0.73944,0.62814,0.68692,0.47252,1.14375,1.10646,1.28042,4.5453e-05,4.5453e-05,4.5453e-05
29,3516.3,0.89159,0.79101,1.13307,0.75,0.62259,0.69223,0.4777,1.13255,1.09285,1.27833,3.1692e-05,3.1692e-05,3.1692e-05
30,3633.25,0.88545,0.77469,1.12529,0.75457,0.62596,0.69311,0.47949,1.13632,1.09319,1.27835,1.7931e-05,1.7931e-05,1.7931e-05
