epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.875,1.09872,3.39477,1.27846,0.56525,0.413,0.42876,0.27687,1.22527,2.05587,1.33124,0.000138115,0.000138115,0.000138115
2,249.8,1.19928,2.07273,1.35201,0.6005,0.52977,0.54597,0.35207,1.22677,1.60646,1.3854,0.00026797,0.00026797,0.00026797
3,370.466,1.19129,1.87943,1.35098,0.57963,0.44378,0.47301,0.28349,1.33331,1.70302,1.44871,0.000388651,0.000388651,0.000388651
4,488.657,1.20214,1.80548,1.36224,0.52171,0.43481,0.41999,0.24821,1.34451,1.78926,1.43959,0.000375717,0.000375717,0.000375717
5,606.806,1.18192,1.70154,1.34841,0.57753,0.46591,0.48886,0.30252,1.27098,1.61395,1.41012,0.000361956,0.000361956,0.000361956
6,723.663,1.15715,1.6233,1.33116,0.61534,0.52128,0.55754,0.35435,1.26196,1.5143,1.38353,0.000348195,0.000348195,0.000348195
7,839.752,1.1391,1.55187,1.3181,0.64074,0.51576,0.55958,0.3603,1.25302,1.45991,1.37189,0.000334434,0.000334434,0.000334434
8,956.455,1.12664,1.48742,1.3095,0.64997,0.54134,0.58759,0.38269,1.22828,1.42724,1.34848,0.000320673,0.000320673,0.000320673
9,1074.77,1.11261,1.43255,1.30368,0.67472,0.5535,0.60399,0.39184,1.1939,1.35215,1.32551,0.000306912,0.000306912,0.000306912
10,1192.49,1.10664,1.40088,1.29581,0.67176,0.56358,0.61837,0.41094,1.17966,1.3313,1.32068,0.000293151,0.000293151,0.000293151
11,1309.08,1.09207,1.34737,1.2875,0.68266,0.56239,0.61968,0.40825,1.19551,1.30671,1.321,0.00027939,0.00027939,0.00027939
12,1428.52,1.07304,1.30454,1.27278,0.66635,0.56562,0.61927,0.41237,1.1747,1.30777,1.31227,0.000265629,0.000265629,0.000265629
13,1547.27,1.05987,1.27521,1.26124,0.68599,0.57445,0.63207,0.4254,1.17497,1.27311,1.30269,0.000251868,0.000251868,0.000251868
14,1665.94,1.0504,1.22644,1.25224,0.70679,0.60489,0.65763,0.44575,1.15693,1.22203,1.29017,0.000238107,0.000238107,0.000238107
15,1782.36,1.03556,1.19407,1.24055,0.71769,0.60221,0.66084,0.44581,1.17273,1.19839,1.29556,0.000224346,0.000224346,0.000224346
16,1899.46,1.02829,1.16832,1.23728,0.71341,0.60719,0.67278,0.45478,1.14281,1.1724,1.27819,0.000210585,0.000210585,0.000210585
17,2018.37,1.01704,1.13779,1.22592,0.72668,0.60993,0.68011,0.46126,1.1437,1.17168,1.28065,0.000196824,0.000196824,0.000196824
18,2135.52,1.01015,1.12027,1.22089,0.7299,0.61798,0.6846,0.47019,1.1277,1.12848,1.27388,0.000183063,0.000183063,0.000183063
19,2252.16,1.00496,1.10389,1.21449,0.75924,0.61833,0.70255,0.48393,1.11386,1.11126,1.25883,0.000169302,0.000169302,0.000169302
20,2369.15,0.98041,1.07082,1.208,0.7402,0.62617,0.69857,0.4735,1.14114,1.10257,1.26652,0.000155541,0.000155541,0.000155541
21,2487.58,0.97325,0.9834,1.18998,0.72894,0.62389,0.68567,0.47234,1.12095,1.11166,1.26382,0.00014178,0.00014178,0.00014178
22,2600.58,0.94744,0.89743,1.17411,0.74247,0.63518,0.69973,0.48572,1.11643,1.08822,1.26523,0.000128019,0.000128019,0.000128019
23,2713.56,0.92232,0.86648,1.15686,0.75914,0.63512,0.70676,0.49157,1.11646,1.07784,1.25453,0.000114258,0.000114258,0.000114258
24,2827.8,0.91436,0.83853,1.14815,0.74966,0.65301,0.712,0.49293,1.11703,1.06366,1.26007,0.000100497,0.000100497,0.000100497
25,2942.2,0.90007,0.80747,1.13684,0.75741,0.64457,0.71247,0.49422,1.1041,1.05841,1.25021,8.6736e-05,8.6736e-05,8.6736e-05
26,3055.72,0.88416,0.78455,1.12546,0.76578,0.64719,0.72127,0.50623,1.09565,1.04742,1.24228,7.2975e-05,7.2975e-05,7.2975e-05
27,3169.27,0.86466,0.76054,1.1126,0.76776,0.65462,0.72364,0.50774,1.08368,1.03147,1.23316,5.9214e-05,5.9214e-05,5.9214e-05
28,3282.18,0.85947,0.74696,1.10712,0.78943,0.64216,0.72434,0.50809,1.0931,1.02965,1.23863,4.5453e-05,4.5453e-05,4.5453e-05
29,3395.45,0.84886,0.7332,1.10112,0.76491,0.65815,0.72646,0.51364,1.0818,1.02035,1.23394,3.1692e-05,3.1692e-05,3.1692e-05
30,3509.25,0.84106,0.71487,1.09471,0.77909,0.65724,0.72915,0.51615,1.08139,1.01381,1.23303,1.7931e-05,1.7931e-05,1.7931e-05
